MLA,DOB,Age,Constuency,Party,Gender,Ethnicity,follow up status  ,
"ALLAN, Nancy",7/25/1952,62,St. Vital,NDP,Female,White,,
"ALLUM, Hon. James",n/a,,Fort Garry-Riverview,NDP,Male,White,,Missing Info
"ALTEMEYER, Rob",1/11/1969,,Wolseley,NDP,Male,White,,Confirmed (Unconfirmed until Green)
"ASHTON, Steve",2/29/1956,58,Thompson,NDP,Male,White,,
"BJORNSON, Hon. Peter",2/25/1964,,Gimli,NDP,Male,White,,
"BLADY, Hon. Sharon",n/a,,Kirkfield Park,NDP,Female,,,
"BRAUN, Hon. Erna",n/a,,Rossmere,NDP,Female,White,,
"BRIESE, Stuart",5/6/1946,,Agassiz,PC,Male,White,,
"CALDWELL, Hon. Drew",4/10/1960,54,Brandon East,NDP,Male,White,,
"CHIEF, Hon. Kevin",1974,,Point Douglas,NDP,Male,White,,
"CHOMIAK, Hon. Dave",2/15/1953,61,Kildonan,NDP,Male,White,,
"CROTHERS, Hon. Deanne",n/a,,St. James,NDP,Female,White,,
"CULLEN, Cliff",11/8/1962,52,Spruce Woods,PC,Male,White,,
"DEWAR, Hon. Greg",n/a,,Selkirk,NDP,Male,White,,
"DRIEDGER, Myrna",1952,,Charleswood,PC,Female,White,,
"EICHLER, Ralph","March 23,1950",64,Lakeside,PC,Male,White,,
"EWASKO, Wayne",n/a,,Lac du Bonnet,PC,Male,White,,
"FRIESEN, Cameron",n/a,,Morden-Winkler,PC,Male,White,,
"GAUDREAU, Dave",8/22/1971,43,St. Norbert,NDP,Male,White,,
"GERRARD, Hon. Jon",10/13/1947,67,River Heights,Liberal,Male,White,,
"GOERTZEN, Kelvin",6/12/1969,45,Steinbach,PC,Male,White,,
"GRAYDON, Cliff",n/a,,Emerson,PC,Male,White,,
"HELWER, Reg",6/7/1960,,Brandon West,PC,Male,White,,
"HOWARD, Jennifer",3/12/1971,43,Fort Rouge,NDP,Female,White,,
"IRVIN-ROSS, Hon. Kerri",n/a,,Fort Richmond,NDP,Female,,,
"JHA, Bidhu",8/4/1942,72,Radisson,NDP,Male,,,
"KOSTYSHYN, Hon. Ron",n/a,,Swan River,NDP,Male,White,,
"LEMIEUX, Hon. Ron",8/15/1950,64,Dawson Trail,NDP,Male,White,,
"MACKINTOSH, Hon. Gord",7/7/1955,59,St. Johns,NDP,Male,White,,
"MALOWAY, Jim",11/10/1952,62,Elmwood,NDP,Male,White,,
"MARCELINO, Hon. Florfina",n/a,,Logan,NDP,Female,,,
"MARCELINO, Ted",n/a,,Tyndall Park,NDP,Male,,,
"MARTIN, Shannon",n/a,,Morris,PC,Male,,,
"MELNICK, Christine",n/a,,Riel,NDP,Female,,,
"MITCHELSON, Bonnie",11/28/1947,67,River East,PC,Female,,,
"NEVAKSHONOFF, Thomas",12/22/1958,56,Interlake,NDP,Male,White,,
"OSWALD, Theresa",5/1/1966,48,Seine River,NDP,Female,White,,
"PALLISTER, Brian",7/6/1954,,Fort Whyte,PC,Male,White,,
"PEDERSEN, Blaine",n/a,,Midland,PC,Male,White,,
"PETTERSEN, Clarence",n/a,,Flin Flon,NDP,Male,White,,
"PIWNIUK, Doyle",3/30/1967,47,Arthur-Virden,PC,Male,White,,
"REID, Hon. Daryl",n/a,,Transcona,NDP,Male,White,,
"ROBINSON, Hon. Eric",2/5/1953,61,Kewatinook,NDP,Male,,,
"RONDEAU, Jim",4/6/1959,55,Assiniboia,NDP,Male,,,
"ROWAT, Leanne",12/20/1962,,Riding Mountain,PC,Female,White,,
"SARAN, Mohinder",n/a,,The Maples,NDP,Male,,,
"SCHULER, Ron",2/12/1963,51,St. Paul,PC,Male,,,
"SELBY, Erin",n/a,,Southdale,NDP,Female,White,,
"SELINGER, Hon. Gregory F.",2/16/1951,63,St. Boniface,NDP,Male,,,
"SMOOK, Dennis",1954,,La Verendrye,PC,Male,,,
"STEFANSON, Heather",5/11/1970,44,Tuxedo,PC,Female,White,,
"STRUTHERS, Stan",1959,,Dauphin,NDP,Male,,,
"SWAN, Andrew",8/9/1968,46,Minto,NDP,Male,White,,
Vacant,n/a,,The Pas,n/a,,,,
"WIEBE, Matt",n/a,,Concordia,NDP,Male,White,,
"WIGHT, Hon. Melanie",n/a,,Burrows,NDP,Female,White,,
"WISHART, Ian",n/a,,Portage la Prairie,PC,Male,White,,
